"","x"
"1","countyFIPS"
"2","County Name"
"3","State"
"4","StateFIPS"
"5","2020-01-22"
"6","2020-01-23"
"7","2020-01-24"
"8","2020-01-25"
"9","2020-01-26"
"10","2020-01-27"
"11","2020-01-28"
"12","2020-01-29"
"13","2020-01-30"
"14","2020-01-31"
"15","2020-02-01"
"16","2020-02-02"
"17","2020-02-03"
"18","2020-02-04"
"19","2020-02-05"
"20","2020-02-06"
"21","2020-02-07"
"22","2020-02-08"
"23","2020-02-09"
"24","2020-02-10"
"25","2020-02-11"
"26","2020-02-12"
"27","2020-02-13"
"28","2020-02-14"
"29","2020-02-15"
"30","2020-02-16"
"31","2020-02-17"
"32","2020-02-18"
"33","2020-02-19"
"34","2020-02-20"
"35","2020-02-21"
"36","2020-02-22"
"37","2020-02-23"
"38","2020-02-24"
"39","2020-02-25"
"40","2020-02-26"
"41","2020-02-27"
"42","2020-02-28"
"43","2020-02-29"
"44","2020-03-01"
"45","2020-03-02"
"46","2020-03-03"
"47","2020-03-04"
"48","2020-03-05"
"49","2020-03-06"
"50","2020-03-07"
"51","2020-03-08"
"52","2020-03-09"
"53","2020-03-10"
"54","2020-03-11"
"55","2020-03-12"
"56","2020-03-13"
"57","2020-03-14"
"58","2020-03-15"
"59","2020-03-16"
"60","2020-03-17"
"61","2020-03-18"
"62","2020-03-19"
"63","2020-03-20"
"64","2020-03-21"
"65","2020-03-22"
"66","2020-03-23"
"67","2020-03-24"
"68","2020-03-25"
"69","2020-03-26"
"70","2020-03-27"
"71","2020-03-28"
"72","2020-03-29"
"73","2020-03-30"
"74","2020-03-31"
"75","2020-04-01"
"76","2020-04-02"
"77","2020-04-03"
"78","2020-04-04"
"79","2020-04-05"
"80","2020-04-06"
"81","2020-04-07"
"82","2020-04-08"
"83","2020-04-09"
"84","2020-04-10"
"85","2020-04-11"
"86","2020-04-12"
"87","2020-04-13"
"88","2020-04-14"
"89","2020-04-15"
"90","2020-04-16"
"91","2020-04-17"
"92","2020-04-18"
"93","2020-04-19"
"94","2020-04-20"
"95","2020-04-21"
"96","2020-04-22"
"97","2020-04-23"
"98","2020-04-24"
"99","2020-04-25"
"100","2020-04-26"
"101","2020-04-27"
"102","2020-04-28"
"103","2020-04-29"
"104","2020-04-30"
"105","2020-05-01"
"106","2020-05-02"
"107","2020-05-03"
"108","2020-05-04"
"109","2020-05-05"
"110","2020-05-06"
"111","2020-05-07"
"112","2020-05-08"
"113","2020-05-09"
"114","2020-05-10"
"115","2020-05-11"
"116","2020-05-12"
"117","2020-05-13"
"118","2020-05-14"
"119","2020-05-15"
"120","2020-05-16"
"121","2020-05-17"
"122","2020-05-18"
"123","2020-05-19"
"124","2020-05-20"
"125","2020-05-21"
"126","2020-05-22"
"127","2020-05-23"
"128","2020-05-24"
"129","2020-05-25"
"130","2020-05-26"
"131","2020-05-27"
"132","2020-05-28"
"133","2020-05-29"
"134","2020-05-30"
"135","2020-05-31"
"136","2020-06-01"
"137","2020-06-02"
"138","2020-06-03"
"139","2020-06-04"
"140","2020-06-05"
"141","2020-06-06"
"142","2020-06-07"
"143","2020-06-08"
"144","2020-06-09"
"145","2020-06-10"
"146","2020-06-11"
"147","2020-06-12"
"148","2020-06-13"
"149","2020-06-14"
"150","2020-06-15"
"151","2020-06-16"
"152","2020-06-17"
"153","2020-06-18"
"154","2020-06-19"
"155","2020-06-20"
"156","2020-06-21"
"157","2020-06-22"
"158","2020-06-23"
"159","2020-06-24"
"160","2020-06-25"
"161","2020-06-26"
"162","2020-06-27"
"163","2020-06-28"
"164","2020-06-29"
"165","2020-06-30"
"166","2020-07-01"
"167","2020-07-02"
"168","2020-07-03"
"169","2020-07-04"
"170","2020-07-05"
"171","2020-07-06"
"172","2020-07-07"
"173","2020-07-08"
"174","2020-07-09"
"175","2020-07-10"
"176","2020-07-11"
"177","2020-07-12"
"178","2020-07-13"
"179","2020-07-14"
"180","2020-07-15"
"181","2020-07-16"
"182","2020-07-17"
"183","2020-07-18"
"184","2020-07-19"
"185","2020-07-20"
"186","2020-07-21"
"187","2020-07-22"
"188","2020-07-23"
"189","2020-07-24"
"190","2020-07-25"
"191","2020-07-26"
"192","2020-07-27"
"193","2020-07-28"
"194","2020-07-29"
"195","2020-07-30"
"196","2020-07-31"
"197","2020-08-01"
"198","2020-08-02"
"199","2020-08-03"
"200","2020-08-04"
"201","2020-08-05"
"202","2020-08-06"
"203","2020-08-07"
"204","2020-08-08"
"205","2020-08-09"
"206","2020-08-10"
"207","2020-08-11"
"208","2020-08-12"
"209","2020-08-13"
"210","2020-08-14"
"211","2020-08-15"
"212","2020-08-16"
"213","2020-08-17"
"214","2020-08-18"
"215","2020-08-19"
"216","2020-08-20"
"217","2020-08-21"
"218","2020-08-22"
"219","2020-08-23"
"220","2020-08-24"
"221","2020-08-25"
"222","2020-08-26"
"223","2020-08-27"
"224","2020-08-28"
"225","2020-08-29"
"226","2020-08-30"
"227","2020-08-31"
"228","2020-09-01"
"229","2020-09-02"
"230","2020-09-03"
"231","2020-09-04"
"232","2020-09-05"
"233","2020-09-06"
"234","2020-09-07"
"235","2020-09-08"
"236","2020-09-09"
"237","2020-09-10"
"238","2020-09-11"
"239","2020-09-12"
"240","2020-09-13"
"241","2020-09-14"
"242","2020-09-15"
"243","2020-09-16"
"244","2020-09-17"
"245","2020-09-18"
"246","2020-09-19"
"247","2020-09-20"
"248","2020-09-21"
